state,medicaid_aba_pathway,medicaid_agency,prior_auth,autism_insurance_mandate,typical_hours,medicaid_rate,waiver_programs,bcba_licensure,sources
South Carolina,"Covered under Healthy Connections Medicaid as a state-plan Autism Spectrum Disorder (ASD) Services benefit via EPSDT (added 2017 after the DDSN PDD/EIBI waiver ended); members in managed care get ABA through their Healthy Connections MCO, which handles authorization and payment","South Carolina Department of Health and Human Services (SCDHHS); Healthy Connections member line 888-549-0820, provider line 888-289-0709",The ABA provider requests prior authorization from SCDHHS (FFS) or the member's MCO with a comprehensive diagnostic evaluation confirming ASD and a treatment plan; families are directed to contact an enrolled ASD provider to initiate the auth,"Ryan's Law enacted 2007 (effective July 2008) - one of the first state mandates; up to $50,000/yr for behavioral therapy through age 16 for children diagnosed by age 8; caps of this kind are generally unenforceable under federal MHPAEA parity for covered plans (verify current cap status)",Up to 40 hrs/wk - 97153 is capped at 160 15-min units per week under the SCDHHS ASD manual,97153 = $14.88 per 15 min (~$59.52/hr) effective July 1 2023,"BHDD/DDSN-operated HCBS waivers: Community Supports (CS) Waiver, Intellectual Disability/Related Disabilities (ID/RD) Waiver and Head and Spinal Cord Injury (HASCI) Waiver; the autism-specific PDD waiver ended Dec 31 2017 when ABA moved to the state plan","No - South Carolina has no behavior analyst licensure law (licensure bills such as S.630 have not passed); providers practice on BACB (BCBA) certification, which SCDHHS requires for enrollment",https://www.scdhhs.gov/resources/programs-and-initiatives/autism-spectrum-disorder-services; https://www.scdhhs.gov/sites/dhhs/files/documents/Autism%20Spectrum%20Disorder%20(ASD)%20Services%20Provider%20Manual%209.1.2025.pdf; https://ddsn.sc.gov/services/medicaid-home-and-community-based-waiver-services
South Dakota,"ABA covered under the EPSDT benefit for children 20 and younger with an ASD diagnosis; straight fee-for-service South Dakota Medicaid (no MCOs); billed by enrolled behavior analysts, psychologists, or physicians","South Dakota Department of Social Services (DSS), Division of Medicaid Services — dss.sd.gov","Provider submits the ABA Services Prior Authorization Form with an ASD diagnosis made within 12 months by a physician or psychologist (GARS-3, ADOS-2, or ABAS evidence-based tool), a physician/NP/PA order, and a treatment plan with recommended weekly hours; authorizations run 6 months","2015 (SB 190); covers under age 19 with annual ABA caps by age (~$36,000 under 7; $25,000 ages 7-13; $12,500 ages 14-18); caps not removed (verify exact brackets)","Not published; weekly hours set individually in the prior-authorized treatment plan, re-authorized every 6 months",~$21.73 per 15 min (~$86.92/hr) per 2026 rate tracker (verify against DSS ABA fee schedule),Family Support 360 waiver; CHOICES waiver (Division of Developmental Disabilities),Yes — HB 1141 (2016); licensed under the SD Board of Social Work Examiners with an Applied Behavior Analyst Advisory Committee,https://dss.sd.gov/docs/medicaid/providers/billingmanuals/Professional/Applied_Behavioral_Analysis.pdf; https://dss.sd.gov/licensingboards/socialwork/abacommittee.aspx; https://www.autismspeaks.org/south-dakota-state-regulated-insurance-coverage
Tennessee,"ABA covered for members under 21 through TennCare's EPSDT benefit; access runs through the member's TennCare managed-care organization (BlueCare, UnitedHealthcare Community Plan, or Wellpoint/Amerigroup)",Division of TennCare (tn.gov/tenncare); TennCare Connect 855-259-0701,"Prior authorization through the member's MCO; requires a comprehensive clinical evaluation with DSM-5 ASD diagnosis, a physician order/script for ABA, and a treatment plan with proposed hours from the supervising Licensed Behavior Analyst (BCBA/LBA)","2006 (TCA 56-7-2367) required parity with neurological-disorder coverage for children under 12 but not ABA; an Aug 1, 2019 Dept. of Commerce & Insurance bulletin required coverage of medically necessary ABA (compliance by 3/1/2020), making TN the 50th state; no annual dollar caps",No fixed cap; hours set by MCO medical-necessity review — comprehensive ABA defined as >25 hrs/wk vs focused treatment in MCO level-of-care guidelines,Not published (verify) — no statewide fee schedule; rates negotiated with each MCO,Katie Beckett Program (Parts A/B); Employment and Community First (ECF) CHOICES for I/DD — both under the TennCare III 1115 demonstration,Yes — Applied Behavior Analyst Licensing Committee created 2014 under the TN Department of Health; licenses LBAs and LABAs,https://www.tn.gov/content/dam/tn/commerce/documents/insurance/bulletins/8-1-19-Bulletin.pdf; https://www.tn.gov/health/licensure/aba.html; https://www.tn.gov/disability-and-aging/disability-aging-programs/katie-beckett.html
Texas,"Autism Services benefit (ABA evaluation and treatment) added Feb 1, 2022 under the Texas Health Steps Comprehensive Care Program (THSteps-CCP/EPSDT) for ages 20 and younger; delivered fee-for-service via TMHP and through STAR/STAR Kids MCOs","Texas Health and Human Services Commission (HHSC); claims and prior auth through TMHP — tmhp.com, 800-925-9126","Licensed Behavior Analyst (LBA/BCBA) submits the CCP Prior Authorization Request with an ASD diagnosis, completed ABA evaluation, and treatment plan; requires referring/ordering provider; periodic reauthorization with updated plan","2007 (HB 1919, group plans ages 2-6); expanded 2009 and 2013 — SB 1484 removed the age cap but allowed an annual ABA max (~$36,000, verify) for enrollees age 10+",Direct treatment capped at 8 hrs/day (32 units combined across 97153/97154/97155/97158); comprehensive vs focused treatment per policy,"$14.50 per 15 min ($58.00/hr) — TMHP Autism Services fee schedule, effective 9/1/2025","HCS, Texas Home Living (TxHmL), CLASS, MDCP, and YES waivers — all with multi-year interest lists","Yes — SB 589 (2017), Behavior Analyst Licensing Act; Licensed Behavior Analyst through the Texas Department of Licensing and Regulation (TDLR), licensing began 2018",https://www.tmhp.com/news/2021-07-30-hhsc-release-autism-services-benefits-effective-february-1-2022; https://public.tmhp.com/FeeSchedules/Default.aspx; https://tdlr.texas.gov/bhv/laws-rules.htm
Utah,"Autism Spectrum Disorder related services (including ABA) covered under EPSDT for members under 21 in Traditional Medicaid; ABA is a fee-for-service carve-out billed directly to Medicaid, not through ACOs or prepaid mental health plans","Utah Department of Health & Human Services, Division of Integrated Healthcare (Utah Medicaid) — medicaid.utah.gov; Health Program Representative 1-866-608-9422","The ABA provider works with the family to submit a prior-authorization request to the Medicaid agency with documentation of the ASD diagnosis, a copy of the completed diagnostic evaluation tool, and a written prescription for ABA from a qualified clinician","2014 (SB 57, effective 1/1/2016) — ages 2-10 with a 600-hour/year cap; SB 95 (2019, effective 1/1/2020) removed the age and hour caps","Not published; hours set per the prior-authorized treatment plan (the old commercial 600 hrs/yr cap, ~11.5 hrs/wk, was repealed)",~$19.67 per 15 min (~$78.68/hr) per 2026 rate tracker (verify via Utah Medicaid fee schedule lookup),Community Supports Waiver (DSPD) — the main HCBS option; the legacy Utah Medicaid Autism Waiver is closed to new applicants,"Yes — SB 246 (2015), Behavior Analyst Licensing Act; Utah Division of Occupational and Professional Licensing (DOPL)",https://medicaid-manuals.dhhs.utah.gov/Autism_Spectrum_Services/autism_spectrum_services.htm; https://medicaid.utah.gov/ltc-2/autismwaiver/; https://le.utah.gov/~2015/bills/sbillenr/SB0246.htm
Vermont,"Vermont Medicaid ABA Benefit under EPSDT for children birth to age 21, supervised by board-certified behavior analysts; administered statewide by DVHA under the Global Commitment to Health 1115 demonstration (no MCOs)",Department of Vermont Health Access (DVHA) — dvha.vermont.gov; ABA benefit questions: AHS.DVHAABABenefit@vermont.gov,All ABA services other than the initial assessment must be prior authorized by DVHA; the supervising BCBA submits documentation of the ASD diagnosis and a treatment plan meeting DVHA's ABA Clinical Guidelines,"2010 (S.262, effective 7/1/2011); Act 158 (2012) extended required coverage of ABA for autism/early childhood developmental disorders from birth to age 21 across private plans and Medicaid; no age or dollar caps under current law (verify)","Authorized intensity spans DVHA's monthly case-rate tiers, from ~2-6 hrs/month up to 170+ hrs/month (roughly up to ~40 hrs/wk), effective 1/1/2026","Historically ~$15.00 per 15 min (~$60/hr); replaced by tiered monthly case rates ($219-$13,667/month by hours tier) effective 1/1/2026",Global Commitment to Health 1115 waiver funds HCBS; Developmental Disabilities Services (DDSD/DAIL) home- and community-based supports for children with I/DD including autism,"Yes — Act 38 (2015, effective 7/1/2016); licensed by the Vermont Secretary of State's Office of Professional Regulation (26 V.S.A. ch. 95)",https://dvha.vermont.gov/providers/applied-behavior-analysis-aba-benefit; https://legislature.vermont.gov/statutes/fullchapter/26/095; https://ddsd.vermont.gov/services-providers/services
Virginia,"ABA covered for members under 21 through the EPSDT benefit as DMAS Behavioral Therapy services under Cardinal Care; delivered via Medicaid managed-care plans (Aetna, Anthem HealthKeepers Plus, Sentara, UnitedHealthcare) or fee-for-service",Department of Medical Assistance Services (DMAS); Cardinal Care / vamedicaid.dmas.virginia.gov provider portal,Prior authorization required before services start: the ABA provider submits a documented autism diagnosis and a treatment plan showing medical necessity to the member's managed-care plan or DMAS's service authorization contractor; services must be rendered by or under supervision of a Licensed Behavior Analyst,"Enacted 2011 (HB 2467, effective 1/1/2012) initially for ages 2-6; age cap raised to 10 in 2015 and eliminated in 2019 (HB 2577); ABA subject to a $35,000 maximum annual benefit; extended to individual/small-group plans in 2020","Up to 20 hrs/wk cumulative ABA limit effective 7/1/2026, exceedable with documented medical necessity under EPSDT",97153: $15.00/15 min technician-delivered (= $60.00/hr); up to $46.63/15 min when delivered by a Licensed Behavior Analyst (HO modifier); unchanged since 2021,"Three DD waivers administered with DBHDS: Community Living (CL), Family and Individual Supports (FIS), Building Independence (BI); apply via local Community Services Board",Yes - licensed since 2012 by the Virginia Board of Medicine (LBA / LABA),https://vamedicaid.dmas.virginia.gov/bulletin/applied-behavior-analysis-aba-policy-changes; https://www.dmas.virginia.gov/for-members/benefits-and-services/waivers/developmental-disability-dd-waivers/; https://www.autismspeaks.org/virginia-state-regulated-insurance-coverage
Washington,Apple Health (Medicaid) ABA benefit: eligibility requires a comprehensive evaluation and ABA order from a recognized Center of Excellence (COE) provider; services delivered through Apple Health managed-care organizations or fee-for-service,Washington State Health Care Authority (HCA); hca.wa.gov Apple Health,"ABA provider must obtain prior authorization from HCA or the member's MCO before treatment, submitting the COE comprehensive evaluation/order plus the assessment and treatment plan; authorizations granted in 3-6-month increments with recertification by the lead behavior analysis therapist","2014 - coverage required under Washington's Mental Health Parity Act following the WA Supreme Court O.S.T. v. Regence ruling and an Insurance Commissioner order (SB 5059 also cited (verify)); no age, dollar, or visit caps",Individualized per COE order and treatment plan; no fixed cap (ABA day program for under-6s typically 12-15 hrs/wk group),97153: $12.40/15 min (= $49.60/hr) per HCA ABA fee schedule eff. 7/1/2026 (verify),"DDA HCBS waivers: Basic Plus, Core, Individual and Family Services (IFS), Children's Intensive In-Home Behavioral Supports (CIIBS), Community Protection","Yes - law enacted 2015 (SB 5488), credentials effective 2017; WA Department of Health (LBA, LABA, Certified Behavior Technician)",https://www.hca.wa.gov/billers-providers-partners/program-information-providers/applied-behavior-analysis-aba-therapy; https://www.hca.wa.gov/assets/billers-and-providers/aba-services-bg-20260101.pdf; https://www.autismspeaks.org/washington-state-regulated-insurance-coverage
West Virginia,"ABA covered for children under 21 via EPSDT under Medicaid Chapter 519.23 (Applied Behavior Analysis, practitioner services); ASD diagnosis must be made before the child's eighth birthday (verify current rule)","WV Bureau for Medical Services (BMS), Department of Human Services; bms.wv.gov","Prior authorization through Acentra Health (formerly Kepro), the state's ASO, is required before any ABA service is rendered; the BCBA provider submits the diagnostic documentation and treatment plan (Acentra: 304-343-9663)","Enacted 2011 (HB 2693, effective 1/1/2012; corrected by HB 4260 in 2012); covers ages 18 months-18 years diagnosed by age 8; ABA capped at $30,000/year for 3 years then $2,000/month - caps not removed",Combined cap of 40 hrs/wk and 8 hrs per 24-hour period across ABA codes 97151-97158,97153: $9.90/15 min (= $39.60/hr); unchanged since 2021,"IDD Waiver (IDDW) and Children with Serious Emotional Disorder Waiver (CSEDW, ages 3-21, apply via 844-HELP4WV)",No state license - a 2012 Sunrise Report found BACB certification adequate; Medicaid requires BCBA certification,https://bms.wv.gov/providers/west-virginia-medicaid-fee-schedules; https://csedwprogram.wv.gov/; https://www.autismspeaks.org/west-virginia-state-regulated-insurance-coverage
Wisconsin,ForwardHealth Behavioral Treatment Benefit (since 1/1/2016) covering ABA and Early Start Denver Model as comprehensive or focused treatment for Medicaid members with autism or related behavioral conditions,"Wisconsin Department of Health Services (DHS), Division of Medicaid Services; ForwardHealth portal (forwardhealth.wi.gov)",ForwardHealth requires a medical examination and written referral/prescription from a Medicaid-enrolled qualified medical provider plus a provider-submitted PA request with diagnostic documentation (validated tools such as ADOS-2/ADI-R) and treatment plan; initial PAs approved for up to 6 months,"Enacted 2009 (effective 11/1/2009): minimum $50,000/yr for intensive-level services (ages 2-9, minimum 4 years) and $25,000/yr for nonintensive-level services with no age limit; amounts CPI-adjusted annually since 2011 - caps still in place",Comprehensive treatment for young children vs focused treatment for specific behaviors; intensive-level defined in the mandate as 30-35+ hrs/wk (Medicaid hours individualized (verify)),97153: $11.91/15 min technician-delivered (= $47.64/hr); higher with licensed-supervisor modifiers (up to $41.44/15 min TF); eff. 2/1/2023 (verify),"Children's Long-Term Support (CLTS) Waiver (under 22, includes intensive autism services) plus Katie Beckett Medicaid eligibility pathway; Family Care/IRIS for adults",Yes - licensed since 2010 (2009 Wis. Act 282); WI Department of Safety and Professional Services,https://www.dhs.wisconsin.gov/publications/p03428.pdf; https://www.forwardhealth.wi.gov/kw/html/19038_InitialPARequests.html; https://oci.wi.gov/Pages/Consumers/PI-234.aspx
Wyoming,"ABA covered as a preventive/EPSDT service (state plan amendment WY 24-0005, effective 7/1/2024) for Medicaid-enrolled children ages 0-20 with a primary autism spectrum disorder diagnosis","Wyoming Department of Health, Division of Healthcare Financing (Wyoming Medicaid); wyomingmedicaid.com, member line 855-294-2127","Enrolled behavior analyst submits a clinical assessment and treatment plan (recommended level of care, goals, objective measures) before services; plan must be updated every 90 days; EPSDT children exempt from the 20-visit rehabilitative limit (verify PA vendor details)",No mandate statute; a 2019 Insurance Department bulletin (effective 7/1/2019) bars plans with mental-health coverage from excluding evidence-based ASD treatment - no legislated age or dollar caps,Not published as hrs/wk; fee schedule caps 97153 at 32 units (8 hrs) per day,97153: $12.30/15 min (= $49.20/hr) per 7/1/2026 fee schedule; $19.23/15 min under DD waivers (verify),"Comprehensive Waiver and Supports Waiver (HCBS for IDD/acquired brain injury, all ages, include behavioral support services)",Yes - law enacted 2022; Wyoming Board of Psychology,https://www.medicaid.gov/medicaid/spa/downloads/WY-24-0005.pdf; https://health.wyo.gov/healthcarefin/medicaid/; https://www.autismspeaks.org/wyoming-state-regulated-insurance-coverage
